# Services IP & Port Registry

Below is the list of active services and servers running in the Instagram Clone workspace:

| Service Name | Default IP / Host | Port | Type / Protocol | Description / Notes |
| :--- | :--- | :--- | :--- | :--- |
| **Instaclone Frontend** | `localhost` | `5173` | HTTP (Web) | React + Vite + Tailwind CSS v4 development server |
| **Authentication Server** | `127.0.0.1` / `localhost` | `5000` | HTTP (REST) | FastAPI Auth gateway backend service |
| **Authentication gRPC Service** | `127.0.0.1` / `localhost` | `50050` | gRPC | Auth gRPC coordination hook |
| **User Service (REST)** | `127.0.0.1` / `localhost` | `6001` | HTTP (REST) | FastAPI User profile & relationship service |
| **User Service (gRPC)** | `127.0.0.1` / `localhost` | `50051` | gRPC | gRPC Server handling profile sync and verification |
| **Notification Server** | `127.0.0.1` / `localhost` | `5001` | HTTP (REST) | FastAPI background worker listening to Kafka events |
| **Redis Server** | `localhost` | `6379` | Redis TCP | Dockerized Redis container (`my-redis-server`) |
| **Redis Commander Console** | `localhost` | `8081` | HTTP (Web) | Web UI administration tool for Redis database |
| **Kafka Broker** | `localhost` | `9092` | SASL_PLAINTEXT | Apache Kafka messaging broker container (`kafka`) |
| **Kafka UI Console** | `localhost` | `8082` | HTTP (Web) | UI dashboard for managing topics & messages (`kafka-ui`) |
| **MinIO Storage Server** | `localhost` | `9000` | S3 API | Object storage backend endpoint for file uploads (`minio`) |
| **MinIO Storage Console** | `localhost` | `9001` | HTTP (Web) | Admin UI console for MinIO storage bucket management |
| **PostgreSQL Database** | `localhost` | `5432` | PostgreSQL | SQL database storing tables (defined in backend connection URLs) |
| **Chat Service (REST/WS)** | `127.0.0.1` / `localhost` | `8001` | HTTP / WS | FastAPI messaging & real-time WebSocket communication server |
| **Nginx API Gateway** | `localhost` | `8080` / `80` | HTTP (REST/WS) | Unified reverse-proxy gateway entry point |
